NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-286 e,,0.185669,29.221289,,90,2454972.33017,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-351 b,,0.217522,37.054919,,90,2455033.20033,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 120084 b,4.4772,4.26892,2082,0.66,117,2450774,53,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S
HD 95127 b,5.0362,1.2802,482,0.11,40,2453200,116,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
MOA-2009-BLG-266L b,,,,,,,,Muraki 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...22M,Donnison 2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2010...x/pdf
Kepler-89 d,0.302867,0.173437,23.342989,0.022,,,18.3,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W
Kepler-387 b,,0.0701869,6.791636,,90,2454969.4873,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 20868 b,2.00901,0.947319,380.85,0.75,356.2,2454451.52,100.34,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HAT-P-9 b,0.775153,0.0528645,3.92289,0,90,2454417.9077,84.7,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S
Kepler-410 A b,,0.142508,17.833648,0.17,,,,Van Eylen 2014,http://adsabs.harvard.edu/abs/2014ApJ...782...14V,Van Eylen 2014,http://adsabs.harvard.edu/abs/2014ApJ...782...14V
Kepler-33 e,,0.213825,31.7844,0,90,2454968.8,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-216 c,,0.131447,17.406669,,90,2455004.00607,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-365 c,,0.13334,17.784129,,90,2454979.90524,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-19 b,,0.0845828,9.2869944,0,90,2454959.70597,,Ballard 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..200B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-130 b,,0.0812393,8.457458,,90,2454972.06666,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-160 c,,0.112047,13.699087,,90,2455004.48747,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-207 c,,0.0413536,3.071571,,90,2454966.30425,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-284 b,,0.106526,12.699149,,90,2455017.98515,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-326 b,,0.0335877,2.248329,,90,2454966.42421,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 107148 b,0.212171,0.270013,48.056,0.05,75,2439969,10.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 1666 b,6.47072,0.937147,270,0.63,293.9,2453526.3,199.4,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
Kepler-200 c,,0.0921796,10.222157,,90,2454968.89056,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-95 b,,0.102439,11.5231,0,,,3.36,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-280 c,,0.0557436,4.807091,,90,2454967.64249,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
KIC 11442793 e,,0.423643,91.93913,,,,,Cabrera 2014,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C
Kepler-249 d,,0.120974,15.368459,,90,2454980.38889,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
51 Peg b,0.461143,0.0521068,4.230785,0.013,58,2450001.51,55.94,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M
WASP-60 b,0.511799,0.0531121,4.3050011,0,90,2455747.0295,60.8,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
Kepler-99 b,0.0203553,0.0500668,4.60358,0,90,,2.91,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-125 c,,0.0629914,5.774464,,90,2454965.96118,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 5319 c,1.15,2.0717,886,0.15,252,2453453,18.8,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
Kepler-319 c,,0.0712147,6.941357,,90,2454970.54285,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-153 b,,0.138715,18.870227,,90,2455011.71046,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
55 Cnc f,0.172877,0.773567,261.2,0.32,139,2450080.9108,6.2,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,Fischer 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..790F
Kepler-238 d,,0.109494,13.233549,,90,2454973.32179,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HAT-P-54 b,0.760605,0.0411908,3.799847,0,,,132.6,Bakos 2015,http://adsabs.harvard.edu/abs/2015AJ....149..149B,Bakos 2015,http://adsabs.harvard.edu/abs/2015AJ....149..149B
HIP 67851 b,1.41789,0.458562,88.8,0.09,87.7,2455296.6,46.8,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J
Kepler-153 c,,0.254528,46.90232,,90,2454987.30653,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 212301 b,0.39615,0.034116,2.245715,0,0,2453549.195,59.5,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L
